"MLS #","Cat","Status","Address","City","County","Beds","Baths","Structure Type","Status Contractual Search Date","Current Price","List Price","HOA Fee","Building Name","Lot Size Acres","Main Level Bedrooms","Main Level Full Baths","Main Level Half Baths","Municipality","Pool","Price/SqFt","RATIO Close Price By List Price","RATIO Close Price By Original List Price","Selling Office Name","Total SQFT","Year Built","Zip Code","Legal Subdivision","Age","Original List Price","Above Grade Finished SQFT","DOM","List Agent Full Name","Selling Agent Full Name","List Office Name"
"1000194403","RES","CLS","1335 Powhatan St","Alexandria","Alexandria City, VA","3","3/2","Interior Row/Townhouse","09/29/17","$899,990","$899,990.00","","POWHATAN TOWNHOME CONDOMINIUM","0.00","0","0","1","","No Pool","$473.68","1.00000","0.92715","CENTURY 21 New Millennium","1,900","2017","22314","","5","$970,704","1,900","88","Frank J Gstrein","Tammy E Hoogstad","Comstock Homes, Inc. (CST1)"
"1000156303","RES","CLS","966 Washington St","Alexandria","Alexandria City, VA","3","3/1","End of Row/Townhouse","09/29/17","$822,000","$822,000.00","$110.00","","0.04","0","0","1","","No Pool","$390.31","1.00000","0.87486","McEnearney Associates, Inc.","2,106","1996","22314","OLD TOWN GATEWAY","26","$939,576","2,106","127","Delaine Campbell","Susan Jane Craft","McEnearney Associates, Inc. (MCE1)"
"1000156263","RES","CLS","530 Pitt St N","Alexandria","Alexandria City, VA","4","4/1","Interior Row/Townhouse","09/29/17","$1,350,000","$1,399,000.00","$54.00","","0.04","0","0","1","","No Pool","$592.11","0.96497","0.93168","Weichert, REALTORS","3,040","2003","22314","GARRETS MILL","19","$1,449,000","2,280","88","Alison H Christmas","Julie F Hall","TTR Sotheby's International Realty (TTRS6)"
"1000156197","RES","CLS","700 Union St S","Alexandria","Alexandria City, VA","3","3/1","End of Row/Townhouse","09/29/17","$1,550,000","$1,599,000.00","$241.00","","0.04","0","0","1","","No Pool","$512.57","0.96936","0.91230","Washington Fine Properties ,LLC","3,024","1990","22314","FORDS LANDING","32","$1,699,000","3,024","69","Christine R Garner","Robert Crawford","Weichert, REALTORS (WEI58)"
"1000194405","RES","CLS","125 Queen St","Alexandria","Alexandria City, VA","3","3/1","Interior Row/Townhouse","09/29/17","$1,345,000","$1,450,000.00","","BRANDT TOWNHOUSE","0.04","0","0","0","","No Pool","$400.30","0.92759","0.85397","'Weichert, REALTORS","3,360","1971","22314","BRANDT TOWNHOUSE","51","$1,575,000","3,360","147","Victoria S Kilcullen","William F Panici","Long & Foster Real Estate, Inc. (LNG83)"
"1000205159","RES","CLS","1716 Abingdon Dr #103","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","09/30/17","$185,000","$199,000.00","$0.00","POTOWMACK CROSSING","","1","1","0","","Yes - Community, Yes - Personal","$316.24","0.92965","0.85648","KW United","585","1942","22314","POTOWMACK CROSSING","80","$216,000","585","27","Tiana C Hickman","Katie L Heydt","Long & Foster Real Estate, Inc. (LNG183)"
"1000156329","RES","CLS","1120 Powhatan St","Alexandria","Alexandria City, VA","2","1/0","End of Row/Townhouse","10/02/17","$593,000","$599,900.00","","","0.06","0","0","0","","No Pool","","0.98850","0.98850","CENTURY 21 New Millennium","","1940","22314","WESTOVER","82","$599,900","","14","Christopher R Hayes","John F Marcellus","McEnearney Associates, Inc. (MCE1)"
"1000083245","RES","CLS","1617-B Hunting Creek Dr #B","Alexandria","Alexandria City, VA","3","2/1","End of Row/Townhouse","10/03/17","$610,000","$614,900.00","$0.00","OLD TOWN VILLAGE","","0","0","1","","Yes - Community, Yes - Personal","$310.43","0.99203","0.99203","Long & Foster Real Estate, Inc.","1,965","2000","22314","OLD TOWN GREENS","22","$614,900","1,965","4","Heather C Corey","Laura K Biederman","TTR Sotheby's International Realty (TTRS6)"
"1000156307","RES","CLS","1806 Abingdon Dr W #101","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","10/04/17","$215,000","$209,000.00","","POTOWMACK CROSSING II","","1","1","0","","No Pool","$351.31","1.02871","1.02871","KW Metro Center","612","1942","22314","POTOWMACK CROSSING","80","$209,000","612","13","Laura R Schwartz","Yony Kifle","Keller Williams Realty (KWR21)"
"1000156227","RES","CLS","701 Devon Pl","Alexandria","Alexandria City, VA","3","2/0","Twin/Semi-Detached","10/05/17","$650,000","$680,000.00","","","0.08","0","0","0","","No Pool","","0.95588","0.95588","Compass","","1939","22314","MT VERNON CONST CO","83","$680,000","","19","Teddi Alyce Segal","Claire A Abrams","Honey House (HNNY1)"
"1000156327","RES","CLS","520 John Carlyle St #331","Alexandria","Alexandria City, VA","1","1/0","Unit/Flat/Apartment","10/05/17","$375,000","$375,000.00","","CONDOS AT CARLYL","","1","1","0","","No Pool","$513.70","1.00000","1.00000","Weichert, REALTORS","730","2007","22314","CONDOS AT CARLYLE SQUARE","15","$375,000","730","42","Lisa K McCaskill","Julie F Hall","Weichert, REALTORS (WEI58)"
"1000156433","RES","CLS","401 Alfred St N","Alexandria","Alexandria City, VA","4","3/1","End of Row/Townhouse","10/05/17","$1,200,000","$1,225,000.00","$95.00","PRINCESS ALFRED HOA","0.05","0","0","1","","No Pool","$722.02","0.97959","0.97959","McEnearney Associates, Inc.","2,493","2014","22314","","8","$1,225,000","1,662","7","John R Young","Jennifer O Halm","RE/MAX Excellence Realty (RXER1)"
"1000156421","RES","CLS","408 Skyhill Rd","Alexandria","Alexandria City, VA","4","2/0","Detached","10/06/17","$768,000","$775,000.00","","","0.21","4","2","0","","No Pool","","0.99097","0.99097","McEnearney Associates, Inc.","","1946","22314","CLOVER","76","$775,000","","7","Barbara E Dill","Sue S Goodhart","RE/MAX Allegiance (RMAX127)"
